Resolution,Noise Type,Image Name,PSNR,SSIM,Correlation
1024x1024,Poisson,amazing-animal-beautiful-beautifull.png,27.41342709,0.308483629,0.054395825
1024x1024,SaltPepper,amazing-animal-beautiful-beautifull.png,27.62914217,0.369023987,0.007671765
256x256,Gaussian,africa-animal-big-brown-41176.png,28.70911437,0.279988061,-0.079199399
1024x1024,Uniform,amazing-animal-beautiful-beautifull.png,27.49806865,0.316459252,0.053479559
1024x1024,Gaussian,amazing-animal-beautiful-beautifull.png,27.4516748,0.442626765,0.106608344
1024x1024,Speckle,amazing-animal-beautiful-beautifull.png,27.58122178,0.441461511,0.148172557
2048x2048,Gaussian,air-bubbles-diving-underwater-blow-62307.png,28.81751068,0.356404868,-0.138868621
2048x2048,Poisson,air-bubbles-diving-underwater-blow-62307.png,28.28167941,0.24454104,-0.049735046
256x256,Speckle,africa-animal-big-brown-41176.png,29.24250003,0.273140632,-0.080682636
256x256,SaltPepper,africa-animal-big-brown-41176.png,28.41433734,0.176848319,-0.166656071
256x256,Uniform,africa-animal-big-brown-41176.png,28.28496177,0.102744128,-0.020046304
512x512,Poisson,air-bubbles-diving-underwater-blow-62307.png,28.27724806,0.073273505,-0.062803969
512x512,Gaussian,air-bubbles-diving-underwater-blow-62307.png,29.02494199,0.264757273,-0.172975885
512x512,SaltPepper,air-bubbles-diving-underwater-blow-62307.png,28.40742715,0.229770167,-0.154261853
256x256,Poisson,africa-animal-big-brown-41176.png,28.2365377,0.112866061,-0.013220355
2048x2048,Uniform,air-bubbles-diving-underwater-blow-62307.png,28.2571252,0.243330069,-0.05015991
2048x2048,Speckle,air-bubbles-diving-underwater-blow-62307.png,28.89089387,0.343287109,-0.129501949
2048x2048,SaltPepper,air-bubbles-diving-underwater-blow-62307.png,28.80795822,0.341324082,-0.140243179
512x512,Uniform,air-bubbles-diving-underwater-blow-62307.png,28.25160599,0.076309273,-0.062208862
512x512,Speckle,air-bubbles-diving-underwater-blow-62307.png,28.83034719,0.251217517,-0.15310388
1024x1024,Gaussian,bellingrath-gardens-alabama-landscape-scenic-158028.png,27.53364814,0.437229134,-0.157829968
1024x1024,Gaussian,amazing-animal-beautiful-beautifull.png,27.3052458,0.463165353,0.142734645
1024x1024,Gaussian,amazing-beautiful-beauty-blue.png,27.32906457,0.395305846,-0.140906653
1024x1024,Gaussian,allgau-eisenberg-ostallgau-bavaria-161097.png,27.45892562,0.445954803,0.132643243
1024x1024,Gaussian,agriculture-arable-clouds-countryside.png,28.26584132,0.309745562,0.020173747
1024x1024,Gaussian,bellingrath-gardens-alabama-landscape-scenic-158063.png,27.49473259,0.426940336,-0.005312038
1024x1024,Gaussian,boat-house-cottage-waters-lake-65225.png,27.39249849,0.416276357,-0.066438413
1024x1024,Gaussian,bull-landscape-nature-mammal-139399.png,28.79842933,0.353149721,-0.037871117
1024x1024,Gaussian,berchtesgaden-alpine-watzmann-berchtesgaden-national-park-957002.png,27.57385381,0.511737849,0.022233948
1024x1024,Gaussian,california-mountains-landscape-scenic-158220.png,27.36322631,0.450183727,0.071676814
1024x1024,Gaussian,antelope-canyon-lower-canyon-arizona.png,27.37903515,0.438355911,0.055957631
1024x1024,Gaussian,blue-clouds-day-fluffy-53594.png,27.53256979,0.376907441,-0.097886716
1024x1024,Gaussian,california-road-highway-mountains-63324.png,27.61692987,0.560595094,-0.012802829
1024x1024,Gaussian,caravan-desert-safari-dune-53537.png,27.46094613,0.438650134,0.169155656
1024x1024,Gaussian,cereals-field-ripe-poppy-70741.png,27.49234714,0.393669284,-0.013850364
1024x1024,Gaussian,dawn-sun-mountain-landscape-65865.png,29.19771558,0.354094802,-0.153367477
1024x1024,Gaussian,dubai-tower-arab-khalifa-162031.png,28.50662937,0.366718056,0.025447217
1024x1024,Gaussian,dahlia-red-blossom-bloom-60597.png,28.69394911,0.358804765,-0.078857268
1024x1024,Gaussian,desert-drought-dehydrated-clay-soil-60013.png,28.5018922,0.369096578,0.091721201
1024x1024,Gaussian,daisy-flower-spring-marguerite-67857.png,27.54167704,0.37532028,0.105569558
1024x1024,Gaussian,field-corn-air-frisch-158827.png,27.65190537,0.382454181,-0.01718365
1024x1024,Gaussian,fall-autumn-red-season.png,27.67120213,0.375934938,-0.015308066
1024x1024,Gaussian,earth-soil-creep-moon-lunar-surface-87009.png,27.88058476,0.547094929,0.091354036
1024x1024,Gaussian,field-of-poppies-brandenburg-nature-royalty-free-86431.png,27.26215346,0.468032397,-0.097498454
1024x1024,Gaussian,field-clouds-sky-earth-46160.png,29.85236437,0.331013734,-0.037155555
1024x1024,Gaussian,fog-dawn-landscape-morgenstimmung-163323.png,27.32706594,0.422088662,0.005513509
